Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施	报错子部件	服务提示解决措施--改进	Unnamed: 10
0x000003EB	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 光纤发送错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003EC	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 光纤连接丢失	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003ED	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 光纤发送错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003EE	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 光纤发送错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003EF	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 外部锁相环失锁	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F0	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F1	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F2	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F3	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F4	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer缓冲为空	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F5	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer缓冲为满	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F6	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer status错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F7	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, cmd数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F8	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, cmd数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003F9	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, cmd数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003FA	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, cmd数据包错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003FB	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 发送帧超时	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003FC	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 发送帧长度错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003FD	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 接收帧长度错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003FE	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 发送物理缓冲满	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003FF	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 数据包缓冲满	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000400	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 发送内存缓冲满	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000401	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 接收物理缓冲满	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000402	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 数据包解包缓冲满	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000403	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 接收内存缓冲满	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000404	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 接收帧丢失	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000405	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 重发错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000406	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 数据反馈缓冲溢出	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x00000407	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, etimer时间过短	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000007CF	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 其他错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF0	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE错误中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF1	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE输入丢失中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF2	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE锁定丢失中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF3	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE非法数据中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF4	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE错误数据中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF5	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE无寄存器中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF6	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE告警中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x0000FFF7	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, DSE连接丢失中断	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
