Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施
0x50000014	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水流量传感器错误	"1.GC回水流量传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000015	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RFA出水压力传感器错误	"1.RFA供水压力传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000016	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RFA回水压力传感器错误	不关心探点
0x50000017	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RFA回水温度传感器错误	"1.RFA回水温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000018	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RFA回水流量传感器错误	"1.RFA回水流量传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000019	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	HC回水温度传感器错误	"1.HC回水温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x5000001A	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	HC回水流量传感器错误	"1.HC回水流量传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x5000001B	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	系统出水温度传感器错误	"1.LCC供水温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x5000001C	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	水箱回水温度传感器错误	"1.水箱回水温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x5000001D	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机1防冻结传感器错误	请联系供应商维护
0x5000001E	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机2防冻结传感器错误	请联系供应商维护
0x50000021	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	系统出水温度高停机	检查LCC面板给水温度是否正常，否则联系供应商维护；
0x50000022	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	系统出水温度高报警	检查LCC面板给水温度是否正常，否则联系供应商维护；
0x50000023	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	系统出水温度低报警	检查LCC面板给水温度是否正常，否则联系供应商维护；
0x50000025	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	HC回水温度高报警	"1.检查LCC面板给水温度是否正常，否则联系供应商维护；
2.HC回水温度传感器故障，联系供应商寄送新的温度传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000026	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	HC回水流量低报警	"1.HC回水流量传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000029	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA出水压力高报警	"1.调节GA调节阀，降低压力；
2.GA供水压力传感器故障，联系供应商寄送新的压力传感器，并更换；"
0x5000002A	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA回水压力低报警	不关心参数
0x5000002B	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA回水温度高报警	"1.检查LCC面板给水温度是否正常，否则联系供应商维护；
2.GA流量温度传感器故障，联系供应商寄送新的温度传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x5000002C	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	GA回水流量低报警	"1.GA流量温度传感器故障，联系供应商寄送新的温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x5000002D	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC出水压力高报警	"1.调节GC调节阀，降低压力；
2.GC供水压力传感器故障，联系供应商寄送新的压力传感器，并更换；"
0x5000002E	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水压力低报警	不关心参数
0x5000002F	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水温度高报警	"1.检查LCC面板给水温度是否正常，否则联系供应商维护；
2.GC流量温度传感器故障，联系供应商寄送新的温度传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000030	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	GC回水流量低报警	"1.GC流量温度传感器故障，联系供应商寄送新的温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000031	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RFA出水压力高报警	"1.调节RFA调节阀，降低压力；
2.RFA供水压力传感器故障，联系供应商寄送新的压力传感器，并更换；"
0x50000032	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RFA回水压力低报警	不关心参数
0x50000033	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RFA回水温度高报警	"1.检查LCC面板给水温度是否正常，否则联系供应商维护；
2.RFA流量温度传感器故障，联系供应商寄送新的温度传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000034	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	RFA回水流量低报警	"1.RF流量温度传感器故障，联系供应商寄送新的温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000041	LCC通讯故障，请联系服务工程师	LCC communication fault, please contact the service engineer	Error	No	Yes	超时或者连接断开	控制器故障，联系供应商寄送新的控制器，并更换；
0x50000080	温湿度异常！系统下电，LCC下电，请及时检查精密空调，手动切换LCC顶部氦压缩机路自来水阀	Abnormal temperature and humidity! Power off the system and LCC, please check the air conditioner，and switch the water valve of the helium compressor circuit on the top of the LCC	Error	No	Yes	手动切换自来水阀	手动切换自来水阀，待精密空调恢复后，再切换到LCC
